id,name,parent_uuid,tag,uuid
2563,Theta,21d18f87-936f-4b1b-bc63-f7bc9c8b2f36,Ward,1fa6406e-d72a-4047-bc74-42ec8d07d2bd
2583,Witeithie,21d18f87-936f-4b1b-bc63-f7bc9c8b2f36,Ward,d4bb8e19-5d91-4cd7-9c53-698a74bd9aa5
2596,Kabete,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,3e6d1e68-adc9-4864-8076-38e0de992858
2597,Gitaru,3e6d1e68-adc9-4864-8076-38e0de992858,Ward,7f8699bf-58b3-4928-8960-6f528f03e2fe
2606,Kabete ward,3e6d1e68-adc9-4864-8076-38e0de992858,Ward,248af98b-712d-47a0-bf0e-3fbd1e856d49
2618,Muguga,3e6d1e68-adc9-4864-8076-38e0de992858,Ward,c12901e5-181f-443e-8981-ff07e87874f0
2628,Nyadhuna,3e6d1e68-adc9-4864-8076-38e0de992858,Ward,e6f90583-6855-4b2c-8439-4e382acf3212
2634,Uthiru,3e6d1e68-adc9-4864-8076-38e0de992858,Ward,6ed57413-349a-44c2-a222-d75ca810b6ca
2643,Kiambaa,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,745489f9-4fc2-46f2-87a5-3a62a970ca7a
2644,Cianda,745489f9-4fc2-46f2-87a5-3a62a970ca7a,Ward,0bc88a98-0097-46e9-b028-7c4991f1e072
2649,Karuri,745489f9-4fc2-46f2-87a5-3a62a970ca7a,Ward,e8531df5-c0d1-4e6e-abba-fb825ef1e668
2659,Kihara,745489f9-4fc2-46f2-87a5-3a62a970ca7a,Ward,eab22538-72ac-4799-a0eb-1c777203db1c
2666,Muchatha,745489f9-4fc2-46f2-87a5-3a62a970ca7a,Ward,7b2b123c-80f3-410b-beb3-2461e90b47e6
2672,Ndenderu,745489f9-4fc2-46f2-87a5-3a62a970ca7a,Ward,64676447-e1fa-4c18-97cc-dff143ac157e
2694,Kiambu sub county,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,17ec7094-39a1-47d0-a5a2-c96733a2caee
2695,Ndumberi,17ec7094-39a1-47d0-a5a2-c96733a2caee,Ward,f8869ae6-bc0f-4d90-91ae-f8aa5f7ca76a
2709,Riabai,17ec7094-39a1-47d0-a5a2-c96733a2caee,Ward,df29ad33-49fd-4ea9-a70d-f279bb798517
2725,Kikuyu,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,a0b5d841-2352-421a-845f-bceab26636e3
2726,Karai,a0b5d841-2352-421a-845f-bceab26636e3,Ward,bca8ad7e-3db6-4260-b80f-405d03055453
2733,Kikuyu ward,a0b5d841-2352-421a-845f-bceab26636e3,Ward,56362e86-6a8b-4547-b217-eee9f3ae9c9a
2748,Kinoo,a0b5d841-2352-421a-845f-bceab26636e3,Ward,757859a8-2319-4e4e-9fb8-c3d78089295d
2758,Nachu,a0b5d841-2352-421a-845f-bceab26636e3,Ward,8f5c36b1-526e-4f0c-bb8a-47d98fa1d568
2767,Sigona,a0b5d841-2352-421a-845f-bceab26636e3,Ward,72ccfbbf-0b13-4721-a574-9401f8e7873d
2778,Lari,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,3b602de5-9f95-43f8-b230-b17b804b505c
2779,Kamburu,3b602de5-9f95-43f8-b230-b17b804b505c,Ward,ce529794-001e-4135-8eb5-7f0cd094a0a1
2787,Kijabe,3b602de5-9f95-43f8-b230-b17b804b505c,Ward,ccb04769-5261-419b-8d4b-4c0fbb4534cc
2798,Kinale,3b602de5-9f95-43f8-b230-b17b804b505c,Ward,c61c1a91-0ff0-46a5-8691-27c814fefbae
2804,Lari/Kirenga,3b602de5-9f95-43f8-b230-b17b804b505c,Ward,669c0a3f-9111-45b6-bcef-1da54d45686c
2815,Nyanduma,3b602de5-9f95-43f8-b230-b17b804b505c,Ward,bf4f7556-2f7e-45b5-9055-9d131d44dbed
2825,Limuru,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,8b6bd954-8a6e-46a0-936a-25a83d77c526
2826,Bibirioni,8b6bd954-8a6e-46a0-936a-25a83d77c526,Ward,bc433da1-219f-4c4a-8ab3-03ca7bef99c7
2830,Limuru Central,8b6bd954-8a6e-46a0-936a-25a83d77c526,Ward,dbed1907-35c8-4518-9be7-31245ad79303
2847,Limuru East,8b6bd954-8a6e-46a0-936a-25a83d77c526,Ward,fccc0a44-e7d1-41db-afa4-dc2de6363b22
2858,Ndeiya,8b6bd954-8a6e-46a0-936a-25a83d77c526,Ward,c6d6e7b0-9301-4408-9160-e098fa35b556
2867,Ngecha Tigoni,8b6bd954-8a6e-46a0-936a-25a83d77c526,Ward,58e685a9-0296-4e59-b9b5-dd3f9547a24f
2878,Ruiru,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,d320709c-b435-4599-a352-0e45f798fd15
2879,Biashara,d320709c-b435-4599-a352-0e45f798fd15,Ward,c671d6e2-5003-4373-87d1-aa2fa6612089
2907,Gatongora,d320709c-b435-4599-a352-0e45f798fd15,Ward,b367bf7b-444e-448e-991b-3e5211be7021
2914,Gitothua,d320709c-b435-4599-a352-0e45f798fd15,Ward,860c2ce9-e413-4457-a774-d130653910f5
2927,Kahawa Wendani,d320709c-b435-4599-a352-0e45f798fd15,Ward,7a574324-bc21-41a7-8ba9-970bd0160482
2937,Kahawa/Sukari,d320709c-b435-4599-a352-0e45f798fd15,Ward,55ca0e29-6918-4b34-bbfc-1d3705f7d3ca
2943,Kiuu,d320709c-b435-4599-a352-0e45f798fd15,Ward,a02fe65c-3aa7-4fa9-b043-2997c35e9106
2963,Mwihoko,d320709c-b435-4599-a352-0e45f798fd15,Ward,f41e1604-5417-423d-a888-3a03c1e7ef98
2976,Mwiki,d320709c-b435-4599-a352-0e45f798fd15,Ward,6928b8a7-181f-4b74-bb53-3d3bf4af7bee
2987,Thika Town,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,7c1b7a54-3f80-4834-8832-c98c686039b7
2988,Gatuanyaga,7c1b7a54-3f80-4834-8832-c98c686039b7,Ward,b1013141-f192-404d-a16b-dbf7c3a39071
2993,Hospital,7c1b7a54-3f80-4834-8832-c98c686039b7,Ward,53c0e933-5eb7-4141-b5c5-3e821701aaec
3013,Kamenu,7c1b7a54-3f80-4834-8832-c98c686039b7,Ward,79111329-bac2-404a-a0f5-95bd96a1da32
3061,Ngoliba,7c1b7a54-3f80-4834-8832-c98c686039b7,Ward,6b172a39-08dc-422e-aaad-148af4fa4841
3068,Bomet Central,89864f79-8a5c-4203-a98f-83f92dd4ec5b,Sub County,f79fcbfc-e8d6-40bd-bf26-db50fb1caf16
3069,Chesoen,f79fcbfc-e8d6-40bd-bf26-db50fb1caf16,Ward,45362bad-9135-4f02-beb4-510a459bf563
3076,Mutarakwa,f79fcbfc-e8d6-40bd-bf26-db50fb1caf16,Ward,00de1e1e-fd4c-4d32-acb4-d0b1191f922b
3082,Ndaraweta,f79fcbfc-e8d6-40bd-bf26-db50fb1caf16,Ward,82ee845c-77db-4d5f-a103-21e9e78267d6
3089,Silibwet Township,f79fcbfc-e8d6-40bd-bf26-db50fb1caf16,Ward,9b1c16c4-7764-4740-a02e-24eec3ced615
3067,Bomet,,County,89864f79-8a5c-4203-a98f-83f92dd4ec5b
3107,Singorwet,f79fcbfc-e8d6-40bd-bf26-db50fb1caf16,Ward,8f328f44-b7af-46dc-ae05-c9d451a22fb8
3114,Bomet East,89864f79-8a5c-4203-a98f-83f92dd4ec5b,Sub County,74f0b9ce-fa42-48c7-9f7d-04474e8ddbf8
3115,Chemaner,74f0b9ce-fa42-48c7-9f7d-04474e8ddbf8,Ward,d509fe7e-4fde-4871-b517-b70a9278a9db
3120,Kembu,74f0b9ce-fa42-48c7-9f7d-04474e8ddbf8,Ward,40d8f1a3-4746-4e45-a4d5-73e0b599ce77
3126,Kipreres,74f0b9ce-fa42-48c7-9f7d-04474e8ddbf8,Ward,62aff0ac-9269-4617-8250-43cfed22961a
3133,Longisa,74f0b9ce-fa42-48c7-9f7d-04474e8ddbf8,Ward,cedabd68-2850-47d8-b3a9-f104544c0267
3139,Merigi,74f0b9ce-fa42-48c7-9f7d-04474e8ddbf8,Ward,1c783d60-72f1-40c3-bc53-d3e9ea45fff5
3144,Chepalungu,89864f79-8a5c-4203-a98f-83f92dd4ec5b,Sub County,a9136438-d28e-4a81-81ff-654ffb537c76
3145,Chebunyo,a9136438-d28e-4a81-81ff-654ffb537c76,Ward,509ac1ad-a6a1-4b03-af3f-65a71aa985c9
3156,Kong'asis,a9136438-d28e-4a81-81ff-654ffb537c76,Ward,033b3d8d-ce77-4d1e-af6b-a014cffcf97d
3164,Nyangores,a9136438-d28e-4a81-81ff-654ffb537c76,Ward,2f546772-5a43-454c-9bdc-999378c910b6
3174,Sigor,a9136438-d28e-4a81-81ff-654ffb537c76,Ward,1e17353c-e9b7-403d-871a-f946056f1ef3
3182,Siongiroi,a9136438-d28e-4a81-81ff-654ffb537c76,Ward,c002a2fe-6f32-4731-935a-1d60422ec1ad
3191,Konoin,89864f79-8a5c-4203-a98f-83f92dd4ec5b,Sub County,60c2e836-9769-4c06-b06f-d72884d94245
3192,Boito,60c2e836-9769-4c06-b06f-d72884d94245,Ward,c1c698c5-7aa3-47a0-a370-0101534babbf
3203,Chepchabas,60c2e836-9769-4c06-b06f-d72884d94245,Ward,eab69e27-806c-4934-a959-fd23b509c9d7
3217,Embomos,60c2e836-9769-4c06-b06f-d72884d94245,Ward,64e0e82c-536d-4137-8316-67aa9a36456d
3226,Kimulot,60c2e836-9769-4c06-b06f-d72884d94245,Ward,8ef7344e-d93d-4108-af32-747035f766f4
3232,Mogogosiek,60c2e836-9769-4c06-b06f-d72884d94245,Ward,18a3910d-970e-42de-8584-3a0dea01efe2
3237,Sotik,89864f79-8a5c-4203-a98f-83f92dd4ec5b,Sub County,226f5b95-7302-45fb-9540-87d9d087e539
3238,Chemagel,226f5b95-7302-45fb-9540-87d9d087e539,Ward,b1f6e247-f7de-46be-99d3-5e7408ae33af
3247,Kapletundo,226f5b95-7302-45fb-9540-87d9d087e539,Ward,1ddf11c5-5a5a-470b-b7d9-16c662f8c6c8
3257,Kipsonoi,226f5b95-7302-45fb-9540-87d9d087e539,Ward,4c4fc788-6ca6-42e7-b50e-be3fff8f6f14
3268,Ndanai/Abosi,226f5b95-7302-45fb-9540-87d9d087e539,Ward,de60252c-6bcb-4bcf-9873-d57679eff3ce
3280,Rongena/Manaret,226f5b95-7302-45fb-9540-87d9d087e539,Ward,b69c2f35-841b-486e-9e59-63087b88c7ac
1,Mombasa,,County,4da51ea4-d32c-4ac6-822a-ff2bdc1a79cd
626,Kakamega,,County,c92f86a2-8b5a-4f8e-a5f6-5abb0c584030
1037,Baringo,,County,c20a531a-e8de-4db0-86f8-aa1c06f2c129
1596,Garissa,,County,641c9403-002d-4619-860a-818709eff6ec
1928,Homa Bay,,County,37dec12a-d582-420a-999a-5726af5aaf3a
2310,Isiolo,,County,1615de97-79e1-48f0-a981-66a15c0efe8c
2397,Kiambu,,County,8b6f9787-0aef-4512-8fd5-9a19ac3ed788
